Battery carry-over: SOC=84.399%, V=46.43V
⚠️ PERSISTENT FAULT: recovery runs WITH fault still active
$ /home/khalid/Desktop/AUV_Code/SPAR-LLM/sim_tab/binaries/auv_sim_fd -f /home/khalid/Desktop/AUV_Code/SPAR-LLM/sim_tab/binaries/Faults/_recovery_persistent_rudder_stuck.failure -p 682.29,674.80,111.50 fl_recovery_rudder_stuck.mission
opening ./system.log as system log... done
MIT Sea Grant Odyssey IIB vehicle simulator
	Revision: 2.22, Date: 1998/02/03 04:25:07
Initializing vehicle data structure ...
	273 sensors, 22 behaviors ...
mission file: ./Mission/fl_recovery_rudder_stuck.mission ...
UseSim               1
Entering on-board sim mode disabling all other devices
DebugMode  0

 *** state 1 ***
state: recovery

  sensor:     uo_control_pitch_lim(deg) 45
 behavior: mission_timer 1 
  b_arg:                        time(s) 8400
 behavior: depth_envelope 2 
  b_arg:                   max_depth(m) 171.5
  b_arg:                   min_depth(m) 0
  b_arg:           alt_env_active(bool) 0
  b_arg:                min_altitude(m) 5
  b_arg:      depth_cutoff_active(bool) 1
  b_arg:                cutoff_depth(m) 161.5
 behavior: ascend 3 
  b_arg:                   heading(rad) -7.364
  b_arg:              rudder_angle(rad) 0
  b_arg:              ascent_angle(rad) 0
  b_arg:                     speed(m/s) 0
  b_arg:                   end_depth(m) 0
  b_arg:      drop_descent_weight(bool) 0
  b_arg:       drop_ascent_weight(bool) 1
  b_arg:     abort_mission_active(bool) 0
power_init: V_nom=48.0V Q=50.0Ah R_batt=0.10Ω V_cutoff=36.0V P_hotel=30.0W SOC_0=100.0% Ke=0.570 R_m=2.0Ω
fault_injection: rudder stuck (param=0.350) trigger: time at 0.00
fault_injection: loaded 1 fault(s) from /home/khalid/Desktop/AUV_Code/SPAR-LLM/sim_tab/binaries/Faults/_recovery_persistent_rudder_stuck.failure
battery config: SOC_0 = 84.4% (V_oc=46.88V)
battery config: enabled = 1
battery config: V_nom = 48.0V
battery config: P_hotel = 30.0W
fault_injection: 1 fault(s) loaded from /home/khalid/Desktop/AUV_Code/SPAR-LLM/sim_tab/binaries/Faults/_recovery_persistent_rudder_stuck.failure
  [0] rudder stuck param=0.350 time=0.00
error_trap: thresholds: elev=0.050 rad, rud=0.050 rad, thr=0.5 A, depth=3.0 m, cycles=50, settling=10.0s
Overriding initial position: N=682.29 E=674.80 D=111.50
vvp->nstates = 1, vvp->cstate = 0 after load_mission()
Data Logger (binary file v2)
	Revision: 2.22, Date: 1998/02/03 04:25:07
	datafile: ./Data/S2608707.obd
Calendar time: 1774673177 (Mar 28, 2026 04:46:17 UTC)
SIM_BOTTOM: Using MATH_BOTTOM - TRENCH
SIM_BOTTOM (math_bottom): No Bottom File Specified.  Using built in trench coordinates.
SIM_BOTTOM: *** Collision! (Mission time = 0.00 sec)
    0.00: FAULT ACTIVATED: rudder stuck (param=0.350) at depth=111.50m
ET_HDR,sim_time,state,cmd_elev,act_elev,cmd_rud,act_rud,cmd_thr,act_thr,cmd_depth,state_target_depth,act_depth,pos_n,pos_e,depth,heading_deg,speed,pitch_deg,altitude,oa1_range,oa2_range,roll_deg,seafloor_n,seafloor_e,seafloor_d,faults_active,fault_components,detected,det_component,det_method,det_mismatch,elev_cnt,rud_cnt,thr_cnt,depth_cnt,V_batt,SOC,I_batt,P_total,eta_motor,P_motor,P_hotel,usbl_range,usbl_azimuth,usbl_elevation,dock_n,dock_e,dock_d
ET,0.00,0,0.0000,-0.0000,0.0000,-0.0000,0.000,0.000,0.000,0.000,111.500,682.29,674.80,111.50,-0.00,0.000,-0.00,0.000,0.000,0.000,-0.00,682.29,674.80,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84398901,0.640,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,1.00,0,-0.0680,-0.0283,0.0303,0.3500,0.000,0.000,0.000,0.000,111.486,682.29,674.80,111.49,-0.05,0.002,-1.89,0.000,0.000,0.000,-1.68,682.29,674.80,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84398545,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,2.00,0,-0.1573,-0.1274,0.0728,0.3500,0.000,0.000,0.000,0.000,111.468,682.29,674.80,111.47,-0.11,-0.009,-6.05,0.000,0.000,0.000,-0.03,682.29,674.80,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84398189,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,3.00,0,-0.1742,-0.1783,0.1147,0.3500,0.000,0.000,0.000,0.000,111.447,682.27,674.80,111.45,-0.33,-0.032,-8.74,0.000,0.000,0.000,-1.58,682.27,674.80,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84397833,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,4.00,0,-0.1103,-0.1431,0.1688,0.3500,0.000,0.000,0.000,0.000,111.422,682.23,674.81,111.42,-0.51,-0.053,-7.77,0.000,0.000,0.000,-0.20,682.23,674.81,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84397477,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,5.00,0,-0.0274,-0.0571,0.2221,0.3500,0.000,0.000,0.000,0.000,111.397,682.18,674.81,111.40,-0.74,-0.060,-4.27,0.000,0.000,0.000,-1.35,682.18,674.81,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84397121,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,6.00,0,-0.0003,-0.0018,0.2819,0.3500,0.000,0.000,0.000,0.000,111.376,682.12,674.82,111.38,-0.92,-0.056,-1.54,0.000,0.000,0.000,-0.47,682.12,674.82,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84396765,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,7.00,0,-0.0474,-0.0211,0.3382,0.3500,0.000,0.000,0.000,0.000,111.358,682.07,674.82,111.36,-1.15,-0.051,-1.87,0.000,0.000,0.000,-1.09,682.07,674.82,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84396409,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,8.00,0,-0.1229,-0.0943,0.4005,0.3500,0.000,0.000,0.000,0.000,111.337,682.02,674.83,111.34,-1.38,-0.055,-4.78,0.000,0.000,0.000,-0.75,682.02,674.83,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84396053,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
ET,9.00,0,-0.1575,-0.1516,0.4623,0.3500,0.000,0.000,0.000,0.000,111.312,681.96,674.84,111.31,-1.66,-0.067,-7.49,0.000,0.000,0.000,-0.79,681.96,674.84,0.00,1,rudder_stuck,0,none,none,0.0000,0,0,0,0,46.81,0.84395697,0.641,30.0,0.000,0.0,30.0,0.00,0.0000,0.0000,100.0,200.0,50.0
