sim_time,state,cmd_elev,act_elev,cmd_rud,act_rud,cmd_thr,act_thr,cmd_depth,state_target_depth,act_depth,pos_n,pos_e,depth,heading_deg,speed,pitch_deg,altitude,oa1_range,oa2_range,roll_deg,seafloor_n,seafloor_e,seafloor_d,faults_active,fault_components,detected,det_component,det_method,det_mismatch,elev_cnt,rud_cnt,thr_cnt,depth_cnt,V_batt,SOC,I_batt,P_total,eta_motor,P_motor,P_hotel,usbl_range,usbl_azimuth,usbl_elevation,dock_n,dock_e,dock_d,state_target_wp_id,py_alt_fwd,py_alt_aft,py_alt_left,py_alt_right,py_alt_avg,alt_diff
0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,-0.0,0.0,-0.0,9.7,34.386,40.0,-0.0,500.0,500.0,9.7,0,none,0,none,none,0.0,0,0,0,0,46.86,0.84999993,0.639,30.0,0.0,0.0,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
1.0,0,-0.1548,-0.0776,-0.035,-0.0213,3.868,3.868,180.0,180.0,0.007,500.05,500.0,0.01,0.01,0.096,-5.12,9.75,34.393,40.0,0.43,500.05,500.0,9.76,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84997485,4.513,209.7,0.036,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
2.0,0,-0.2568,-0.2363,-0.0727,-0.0572,3.868,3.868,180.0,180.0,0.028,500.18,500.0,0.03,0.14,0.166,-13.78,9.95,34.43,40.0,0.06,500.18,500.0,9.98,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84994978,4.513,209.7,0.038,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
3.0,0,-0.1917,-0.237,-0.1074,-0.094,3.868,3.868,180.0,180.0,0.075,500.37,500.0,0.07,0.59,0.22,-18.4,10.15,34.443,40.0,0.41,500.37,500.0,10.22,0,none,0,none,none,0.0,0,0,0,0,46.47,0.8499247,4.513,209.7,0.041,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
4.0,0,0.0249,-0.0692,-0.1411,-0.1281,3.868,3.868,180.0,180.0,0.144,500.61,500.0,0.14,1.45,0.272,-16.24,9.95,34.318,40.0,0.2,500.61,500.0,10.09,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84989963,4.513,209.7,0.044,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
5.0,0,0.2273,0.1553,-0.1704,-0.1589,3.868,3.868,180.0,180.0,0.219,500.9,500.01,0.22,2.75,0.329,-11.56,9.7,34.174,40.0,0.29,500.9,500.01,9.92,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84987456,4.513,209.7,0.048,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
6.0,0,0.3539,0.312,-0.1931,-0.1856,3.868,3.868,180.0,180.0,0.289,501.25,500.02,0.29,4.57,0.384,-9.48,9.55,34.065,40.0,0.34,501.25,500.02,9.84,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84984948,4.513,209.7,0.051,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
7.0,0,0.4274,0.4006,-0.2336,-0.2408,3.868,3.868,180.0,180.0,0.361,501.65,500.04,0.36,7.17,0.433,-11.21,9.55,33.995,40.0,0.32,501.65,500.04,9.91,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84982441,4.513,209.7,0.055,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
8.0,0,0.4745,0.4673,-0.1916,-0.2098,3.868,3.868,180.0,180.0,0.453,502.09,500.08,0.45,10.93,0.471,-15.03,9.6,33.921,40.0,0.64,502.09,500.08,10.05,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84979933,4.513,209.7,0.058,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
9.0,0,0.4202,0.4351,-0.144,-0.1631,3.868,3.868,180.0,180.0,0.583,502.56,500.15,0.58,15.63,0.503,-18.7,9.65,33.81,40.0,0.74,502.56,500.15,10.23,0,none,0,none,none,0.0,0,0,0,0,46.47,0.84977426,4.513,209.7,0.061,179.7,30.0,0.0,0.0,0.0,100.0,200.0,50.0,0,,,,,,
