time,depth,pos_n,pos_e,roll,pitch,heading,speed,altitude,usbl_range,usbl_azimuth,usbl_elevation,dock_n,dock_e,dock_d
0.000000,0.000000,500.000000,500.000000,-0.000000,-0.000000,-0.000000,0.000000,9.700000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
1.000000,0.007000,500.050000,500.000000,0.430000,-5.120000,0.010000,0.096000,9.750000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
2.000000,0.028000,500.180000,500.000000,0.060000,-13.780000,0.140000,0.166000,9.950000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
3.000000,0.075000,500.370000,500.000000,0.410000,-18.400000,0.590000,0.220000,10.150000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
4.000000,0.144000,500.610000,500.000000,0.200000,-16.240000,1.450000,0.272000,9.950000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
5.000000,0.219000,500.900000,500.010000,0.290000,-11.560000,2.750000,0.329000,9.700000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
6.000000,0.289000,501.250000,500.020000,0.340000,-9.480000,4.570000,0.384000,9.550000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
7.000000,0.361000,501.650000,500.040000,0.320000,-11.210000,7.170000,0.433000,9.550000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
8.000000,0.453000,502.090000,500.080000,0.640000,-15.030000,10.930000,0.471000,9.600000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
9.000000,0.583000,502.560000,500.150000,0.740000,-18.700000,15.630000,0.503000,9.650000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
10.000000,0.746000,503.040000,500.270000,1.070000,-20.440000,20.690000,0.533000,9.550000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
11.000000,0.929000,503.530000,500.430000,0.980000,-20.700000,25.630000,0.564000,9.400000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
12.000000,1.125000,504.030000,500.650000,1.090000,-20.790000,30.100000,0.595000,9.200000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
13.000000,1.333000,504.540000,500.910000,0.950000,-21.300000,33.960000,0.625000,9.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
14.000000,1.559000,505.050000,501.230000,0.930000,-22.070000,37.170000,0.654000,8.800000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
15.000000,1.802000,505.560000,501.590000,0.830000,-22.800000,39.750000,0.682000,8.600000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
16.000000,2.064000,506.070000,501.990000,0.750000,-23.420000,41.740000,0.709000,5.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
17.000000,2.343000,506.580000,502.420000,0.680000,-23.980000,43.210000,0.735000,4.800000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
18.000000,2.639000,507.090000,502.880000,0.580000,-24.530000,44.250000,0.760000,4.450000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
19.000000,2.952000,507.600000,503.360000,0.550000,-25.080000,44.920000,0.785000,4.150000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
20.000000,3.282000,508.130000,503.860000,0.470000,-25.610000,45.340000,0.809000,3.800000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
21.000000,3.628000,508.650000,504.390000,0.450000,-26.100000,45.550000,0.831000,3.450000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
22.000000,3.990000,509.190000,504.930000,0.410000,-26.570000,45.620000,0.853000,3.050000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
23.000000,4.368000,509.740000,505.480000,0.400000,-27.020000,45.610000,0.875000,2.650000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
24.000000,4.761000,510.290000,506.050000,0.380000,-27.440000,45.540000,0.895000,2.200000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
25.000000,5.169000,510.860000,506.620000,0.360000,-27.840000,45.440000,0.915000,1.750000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
26.000000,5.592000,511.430000,507.210000,0.360000,-28.210000,45.340000,0.934000,1.250000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
27.000000,6.029000,512.020000,507.810000,0.350000,-28.570000,45.260000,0.952000,0.800000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
28.000000,6.479000,512.610000,508.410000,0.360000,-28.900000,45.190000,0.970000,0.250000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
29.000000,6.942000,513.220000,509.020000,0.360000,-29.220000,45.150000,0.987000,0.250000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
30.000000,7.419000,513.830000,509.650000,0.370000,-29.520000,45.150000,1.003000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
31.000000,7.907000,514.460000,510.280000,0.380000,-29.810000,45.160000,1.019000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
32.000000,8.408000,515.090000,510.910000,0.390000,-30.080000,45.190000,1.035000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
33.000000,8.921000,515.720000,511.560000,0.400000,-30.330000,45.230000,1.049000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
34.000000,9.444000,516.370000,512.210000,0.400000,-30.580000,45.270000,1.064000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
35.000000,9.979000,517.020000,512.870000,0.410000,-30.810000,45.310000,1.077000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
36.000000,10.524000,517.680000,513.540000,0.410000,-31.020000,45.340000,1.091000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
37.000000,11.079000,518.340000,514.210000,0.410000,-31.230000,45.360000,1.103000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
38.000000,11.644000,519.010000,514.890000,0.410000,-31.420000,45.370000,1.116000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
39.000000,12.219000,519.690000,515.580000,0.410000,-31.610000,45.370000,1.128000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
40.000000,12.802000,520.370000,516.270000,0.410000,-31.780000,45.360000,1.139000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
41.000000,13.395000,521.060000,516.970000,0.410000,-31.950000,45.360000,1.150000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
42.000000,13.996000,521.750000,517.680000,0.410000,-32.110000,45.350000,1.161000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
43.000000,14.605000,522.440000,518.390000,0.410000,-32.260000,45.340000,1.171000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
44.000000,15.222000,523.150000,519.100000,0.420000,-32.400000,45.330000,1.181000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
45.000000,15.846000,523.850000,519.820000,0.420000,-32.530000,45.330000,1.190000,0.000000,0.000000,0.000000,0.000000,100.000000,200.000000,50.000000
